Office,Office Location,Bookshelves,Category,Title,Author,Publisher,Edition,Year,Quantity,Pages,Book No
"12, Old Post Office St.",Near High Court,SG/3,Book,"Bharat's Companies Act Amendment Act, 2002",,,2nd,2003,,,C19/10
"12, Old Post Office St.",Near High Court,SG/3,Book,Taxmann's Companies Act with SEBI Rules,,,,1995,,,C19/11
"12, Old Post Office St.",Near High Court,SG/5,Book,"A Ramaiya Guide to the Companies Act Part 1,2,3 Appendix 1,2,3,4,5,6 cumulative supplement",,,17th,2010,,,C19/12
"12, Old Post Office St.",Near High Court,SG/6,Book,"A Ramaiya Guide to the Companies Act Part 1,2,3 Appendix 1,2,3,4,5,6 Subject index 1 Supplement 1,2",,,19th,2021,,,C19/13
"12, Old Post Office St.",Near High Court,ST/1,Book,"Companies Act, 2013 with rules and forms",,,,2015,,,C19/14
"12, Old Post Office St.",Near High Court,ST/1,Book,Bharat's Companies Act with rules,,,32nd,2019,,,C19/15
"12, Old Post Office St.",Near High Court,ST/1,Book,Taxmann's companies act with rules,,,13th,2020,,,C19/16
"12, Old Post Office St.",Near High Court,ST/1,Book,"Bharat's Companies Act,2013",,,34th,2021,,,C19/17
"12, Old Post Office St.",Near High Court,ST/1,Book,"Taxmann's guide to Companies Bill, 2011",,,,,,,C19/18
"12, Old Post Office St.",Near High Court,LIB/3,Book,A Ramaiya guide to the Companies Act,,,12th,1992,,,C19/19
"12, Old Post Office St.",Near High Court,LIB/3,Book,A Ramaiya guide to the Companies Act,,,15th,2001,,,C19/20
"12, Old Post Office St.",Near High Court,LIB/3,Book,"A Ramaiya Companies Act, 2013",,,18th,2015,,,C19/21
"12, Old Post Office St.",Near High Court,LIB/3,Book,"A Ramaiya guide to the Companies Act Appendix 1,2,3,4,5,6 supplement + table of cases",,,18th,2015,,,C19/22
"12, Old Post Office St.",Near High Court,LIB/3,Book,"T.P. Ghosh Companies Act, 2013",,,,,,,C19/23
"12, Old Post Office St.",Near High Court,LIB/3,Book,Taxmann's Vargava and Vargava Companies Act law and practice,,,,1990,,,C19/24
"12, Old Post Office St.",Near High Court,,Book,Handbook on company directors with evaluation of the board,,,,,,,
"12, Old Post Office St.",Near High Court,Lib/3,Book,Handbook to companies act (BARE ACT),,,,1992,,,C19/25
"12, Old Post Office St.",Near High Court,LIB/3,Book,Manual of Companies Act Corporate law and SEBI guideline,Ravi Puliani,,,1998,,,C19/26
"12, Old Post Office St.",Near High Court,LIB/3,Book,Bharat's Companies rules and forms,,,16th,2014,,,C19/27
"12, Old Post Office St.",Near High Court,LIB/3,Book,Taxmann's Companies Act 2013 with rules and forms,,,,2015,,,C19/28
"12, Old Post Office St.",Near High Court,LIB/3,Book,Taxmann's Companies Act with rules 2019,,,,2019,,,C19/29
"12, Old Post Office St.",Near High Court,LIB/3,Book,Taxmann's Companies Act 2013 with rules,,,,,,,C19/30
"12, Old Post Office St.",Near High Court,LIB/3,Book,Bharat's Companies Act with rules,,,31st,2018,,,C19/31
"12, Old Post Office St.",Near High Court,LIB/3,Book,"Universal's the Companies Act, 1956",,,,2012,,,C19/32
"12, Old Post Office St.",Near High Court,CONF 1,Book,Companies Act Amendment Companies Act 2000 (BARE ACT),,,,2001,,,C19/33
"12, Old Post Office St.",Near High Court,CONF 1,Book,Companies Act 2nd amendment Companies Act 2000 (BARE ACT),,,,2003,,,C19/34
"12, Old Post Office St.",Near High Court,DM/4,Book,Taxmann's Companies Act with rules,,,17th,2022,,,C19/35
"12, Old Post Office St.",Near High Court,DM/4,Book,Taxmann's Companies Act with rules,,,21st,2024,,,C19/36
"12, Old Post Office St.",Near High Court,RG/1,Book,Handbook on directors under Companies Act 2013,,,,,,,C19/37
"12, Old Post Office St.",Near High Court,TOP FLR,Book,Taxmann's Companies Act,,,,1997,,,C19/38
"12, Old Post Office St.",Near High Court,AKD/2,Book,Justice Mallick commentaries on Indian Contract act,M.R. Mallick,,2nd,2008,,,C20/1
"12, Old Post Office St.",Near High Court,AKD/2,Book,"Dutta on contract Indian Contract Act, 1872",H.K. Saharay,,11th,2013,,,C20/2
"12, Old Post Office St.",Near High Court,AKD/2,Book,Cheshire and Fifoots Law of Contract,M.P. Furmston,,9th,1976,,,C20/3
"12, Old Post Office St.",Near High Court,AKD/2,Book,"K D Srivastava commentaries on Contract Labour (Regulation and Abolition) Act, 1970",G. Saron,,3rd,1982,,,C20/4
"12, Old Post Office St.",Near High Court,AKD/2,Book,Indian Contract and Specific Relief Act,Jeevan Lal Kapur,,9th,1972,,,C20/5
"12, Old Post Office St.",Near High Court,AKD/2,Book,Pollock and Mulla Indian Contract and Specific Relief Acts,Nilima Bhadbhade,,14th,2012,,"Vol.1,2",C20/6
"12, Old Post Office St.",Near High Court,AKD/2,Book,T.S. Venkatesa Iyar's The law of contract and tenders,,,9th,2004,,"Vol.1,2",C20/7
"12, Old Post Office St.",Near High Court,AKD/2,Book,Pollock and Mulla Indian Contract and Specific Relief Acts,R. Yashad Vardhan,,15th,2017,,,C20/8
"12, Old Post Office St.",Near High Court,DD/1,Book,"Indian Contract Act , 1872 (BARE ACT)",,,,2008,,,C20/9
"12, Old Post Office St.",Near High Court,DD/1,Book,"The Contract labour (Regulation and abolition) act, 1970(BARE ACT)",,,,2016,,,C20/10
"12, Old Post Office St.",Near High Court,DD/1,Book,"The Contract labour (Regulation and abolition) act, 1970 with W.B. rules, 1972 (BARE ACT)",,,,2017,,,C20/11
"12, Old Post Office St.",Near High Court,SG/3,Book,"The Contract labour (Regulation and abolition) act, 1970(BARE ACT)",,,,2022,,,C20/12
"12, Old Post Office St.",Near High Court,ST/1,Book,Pollock and Mulla Indian Contract and Specific Relief Act,Nilima Bhadbhade,,12th,,,"Vol. 1,2",C20/13
"12, Old Post Office St.",Near High Court,ST/1,Book,"V.K. Kharbanda commentaries on contract labour (regulation and abolition) Act, 1970",,,5th,2003,,,C20/14
"12, Old Post Office St.",Near High Court,LIB/3,Book,Dutt on contract,S.K.Roychowdhury,,7th,1990,,,C20/15
"12, Old Post Office St.",Near High Court,LIB/3,Book,Dutt on contract,S.K.Roychowdhury,,8th,1994,,,C20/16
"12, Old Post Office St.",Near High Court,LIB/3,Book,"K.D. Srivastava commentaries on contract labour regulation and abolition act, 1970",G. Saran,,4th,1987,,,C20/17
"12, Old Post Office St.",Near High Court,LIB/3,Book,Moitra's law of contracts and specific relief,,,5th,2005,,,
"12, Old Post Office St.",Near High Court,LIB/3,Book,Pollock and Mulla The Indian Contract and Specific relief acts,Nilima Bhadbhade,,14th,2012,,"Vol.1,2",C20/19
"12, Old Post Office St.",Near High Court,CONF 1,Book,"V.K. Kharbanda commentaries on contract labour (regulation and abolition) Act, 1970",V.K.Kharbanda,,3rd,1998,,,C20/20
"12, Old Post Office St.",Near High Court,CONF 1,Book,"Kharbanda & Kharbanda commentaries on contract labour (regulation and abolition) Act, 1970",V.K.Kharbanda,,8th,2015,,,C20/21
"12, Old Post Office St.",Near High Court,DM/4,Book,Pollock and Mulla Indian contract and specific relief act,R. Yashad Vardhan,,16th,2019,,,C20/22
"12, Old Post Office St.",Near High Court,RG/1,Book,"The Indian Contract Acts, 1872",,,,2016,,,C20/23
"12, Old Post Office St.",Near High Court,RG/1,Book,The Indian Contract Acts,,,,2023,,,C20/24
"12, Old Post Office St.",Near High Court,TOP FLR,Book,"Justice M.R. Mallick Indian Contract Act, 1872",,,,1999,,,C20/25
"12, Old Post Office St.",Near High Court,ST/3,Book,"The Contract labour (Regulation and Abolition) Act, 1970 (BARE ACT)",,,,2016,,,C20/26
"12, Old Post Office St.",Near High Court,AKD/14,Book,"The Contract labour (Regulation and Abolition) Act, 1970 (BARE ACT)",,,,1976,,,C20/27
"12, Old Post Office St.",Near High Court,AKD/14,Book,"The Contract labour (Regulation and Abolition) Act, 1970 (BARE ACT)",,,,1998,,,C20/28
"12, Old Post Office St.",Near High Court,AKD/14,Book,"The Contract labour (Regulation and Abolition) Act, 1970 (BARE ACT)",,,,1999,,,C20/29
"12, Old Post Office St.",Near High Court,AKD/14,Book,"The Contract labour (Regulation and Abolition) Act, 1970 (BARE ACT)",,,,2000,,,C20/30
"12, Old Post Office St.",Near High Court,AKD/14,Book,"The Contract labour (Regulation and Abolition) Act, 1970 (BARE ACT)",,,,2004,,,C20/31
"12, Old Post Office St.",Near High Court,AKD/14,Book,"The Contract labour (Regulation and Abolition) Act, 1970 (BARE ACT)",,,,2018,,,C20/32
"12, Old Post Office St.",Near High Court,AKD/14,Book,The Indian contract acts 1872,,,,2013,,,C20/33
"12, Old Post Office St.",Near High Court,DM/14,Book,"Contract labour (regulation and abolition) Act , 1970 (BARE ACT)",,,,2017,,,C20/34
"12, Old Post Office St.",Near High Court,AKD/8,Book,Samaraditya Pal The law of contempt,,,5th,2012,2,,C21/1
"12, Old Post Office St.",Near High Court,AKD/8,Book,The law of Contempt,Samaraditya Pal,,6th,2022,,,C21/2
"12, Old Post Office St.",Near High Court,AKD/8,Book,Samaraditya Pal The law of contempt,,,3rd,2001,,,C21/3
"12, Old Post Office St.",Near High Court,DD/1,Book,"The Contempt of Courts Act,1872 (Bare Act)",,,,2019,,,C21/4
"12, Old Post Office St.",,,Book,"Contempt of Courts Act, 1971(BARE ACT)",,,,,,,
"12, Old Post Office St.",,,Book,The Law of Contmpt,,,,,,,
"12, Old Post Office St.",,,Book,"S.Pal The Contempt of Courts Act, 1971",,,,,,,
"12, Old Post Office St.",,,Book,S.Pal The Law of Contempt,,,,,,,
"12, Old Post Office St.",,,Book,"The Contempt of Courts Ac,1971",,,,,,,
"12, Old Post Office St.",,,Book,D.D. Basu Commentaries on the Constitution of India,,,,,,,
"12, Old Post Office St.",,,Book,Durga Das Basu Constitution of India,,,,,,,
"12, Old Post Office St.",,,Book,D.D. Basu Comparative Constitutional Law,,,,,,,
"12, Old Post Office St.",,,Book,D.D. Basu shorter constitution of India,,,,,,,
"12, Old Post Office St.",,,Book,D.D. Basu shorter constitution of India,,,,,,,
"12, Old Post Office St.",,,Book,Constitutional Law,,,,,,,
"12, Old Post Office St.",,,Book,India's constitutional origin and evolutions,,,,,,,
"12, Old Post Office St.",,,Book,The Constitution of India 1950 Amendment 2018 (BARE ACT),,,,,,,
"12, Old Post Office St.",,,Book,The Constitution of India 1950 Amendment 2018 (BARE ACT),,,,,,,
"12, Old Post Office St.",,,Book,Basu Constitutional Law of India,,,,,,,
"12, Old Post Office St.",,,Book,Basu Constitutional Law of India,,,,,,,
"12, Old Post Office St.",,,Book,Shorter constitution of India,,,,,,,
"12, Old Post Office St.",,LIB/3,Book,The Constitution of India,H.K. Saharay,,2nd,1997,,,C22/13
"12, Old Post Office St.",,LIB/3,Book,S.Pal Constitution Origins and Evolutions,,,,2017,,,C22/14
"12, Old Post Office St.",,LIB/3,Book,D.D. Basu Commentary on Constitution of India,,,9th,2014,2,,C22/15
"12, Old Post Office St.",,LIB/3,Book,P.M.Bakshi The Constitution of India,,,14th,2017,,,C22/16
"12, Old Post Office St.",,LIB/3,Book,D.D. Basu Introduction to the Constitution of India (BARE ACT),,,18th,1999,,,C22/17
"12, Old Post Office St.",,DM/1,Book,P.M.Bakshi The Constitution of India,,,14th,2017,,,C22/18
"12, Old Post Office St.",,DM/1,Book,The Constitution of India,,,,2015,,,C22/19
"12, Old Post Office St.",,AKD/14,Book,The Constitution of India (BARE ACT),P.M.Bakshi ,,,1999,,,C22/20
"12, Old Post Office St.",,AKD/14,Book,The Constitution of India with short notes,,,,1990,,,C22/21
"12, Old Post Office St.",,AKD/14,Book,The Constitution of India with short notes,,,,2014,,,C22/22
"12, Old Post Office St.",,DD/1,Book,"The Consumer Protection Act,1986 (BARE ACT)",,,,2016,2,,C23/1
"12, Old Post Office St.",,DD/1,Book,"The Consumer Protection Act,1986 (BARE ACT)",,,,2022,,,C23/2
"12, Old Post Office St.",,LIB/3,Book,"The Consumer Protection Act,1986",,,,1990,,,C23/3
"12, Old Post Office St.",,LIB/3,Book,Bharat's consumer protection law and practice,V.K. Agarwal,,5th,2003,,,C23/4
"12, Old Post Office St.",,LIB/3,Book,Bharat's consumer protection law and practice,V.K. Agarwal,,3rd,1997,,,C23/5
"12, Old Post Office St.",,LIB/3,Book,The law of consumer protection,D.P. Wadhwa,,,2006,,,C23/6
"12, Old Post Office St.",,LIB/3,Book,Sengupta's commentaries on the consumer protection act,S.P. Sengupta,,,1992,,,C23/7
"12, Old Post Office St.",,LIB/3,Book,Bharat's consumer protection (law and practice),V.K. Agarwal,,8th,2021,,,C23/8
"12, Old Post Office St.",,CONF1,Book,P.K. Majumdar Law of consumer protection in India,Revised by  K.N. Sinha,,6th,,,,C23/9
"12, Old Post Office St.",,DM/1,Book,"The EBC's Consumer Protection Act, 1986 (BARE ACT)",,,,2013,,,C23/10
"12, Old Post Office St.",,DM/1,Book,"The EBC's Consumer Protection Act, 1986 (BARE ACT)",,,,2014,,,C23/11
"12, Old Post Office St.",,DM/1,Book,The Consumer Protection Act (BARE ACT),,,,2017,,,C23/12
"12, Old Post Office St.",,DM/1,Book,The Consumer Protection Act (BARE ACT),,,,2019,,,C23/13
"12, Old Post Office St.",,RB/1,Book,The Consumer Protection Act (BARE ACT),,,,2016,,,C23/14
"12, Old Post Office St.",,RG/1,Book,"The Consumer Protection Act, 2019 (BARE ACT)",,,,2023,,,C23/15
"12, Old Post Office St.",,ST/3,Book,"The Consumer Protection Act, 2019 (BARE ACT)",,,,2019,,,C23/16
"12, Old Post Office St.",,AKD/14,Book,"The Consumer Protection Act, 1986 (BARE ACT)",,,,2016,,,C23/17
"12, Old Post Office St.",,AKD/5,Book,Gupta on A guide to conveyancing drafting and deeds,D.K. Gupta,,2nd,2005,,Vol.1-8,C24/1
"12, Old Post Office St.",,AKD/6,Book,Mogha's Indian Conveyancing,M C  Agarwal,,14th,2009,,,C24/2
"12, Old Post Office St.",,AKD/6,Book,Conveyancing,Frederick Prideawx,,,,,,C24/3
"12, Old Post Office St.",,LIB/3,Book,Mogha's Indian Conveyancing,B.D. Agarwal,,11th,1997,,,C24/4
"12, Old Post Office St.",,AKD/9,Book,West Bengal Co-operative Societies law,L.N. Dutta,,,2013,,,C25/1
"12, Old Post Office St.",,AKD/9,Book,Mitra Co-operative law in West Bengal,Maloy Kr. Roy,,6th,2008,,,C25/2
"12, Old Post Office St.",,AKD/9,Book,Mitra Co-operative law,Sunil Kr. Mitra,,5th,2003,,,C25/3
"12, Old Post Office St.",,AKD/9,Book,Mitra Co-operative law in West Bengal,,,3rd,1988,,,C25/4
"12, Old Post Office St.",,DD/1,Book,"West Bengal Co-operative Societies Act, 2006 (BARE ACT)",,,,2010,,,C25/5
"12, Old Post Office St.",,DD/1,Book,"West Bengal Co-operative Societies Act, 2006 (BARE ACT)",,,,2013,,,C25/6
"12, Old Post Office St.",,DD/1,Book,"West Bengal Co-operative Societies Act, 2011 (BARE ACT)",,,,2011,,,C25/7
"12, Old Post Office St.",,ST/1,Book,Co-ownership and partition,H.K. Saharay,,9th,2016,,,C25/8
"12, Old Post Office St.",,LIB/3,Book,Mukherjee's law of co-operative Societies in West Bengal,,,,1995,,,C25/9
"12, Old Post Office St.",,LIB/3,Book,"The Maharastra Co-operative Societies Act, 1960 (BARE ACT)",,,,1993,,,C25/10
"12, Old Post Office St.",,LIB/3,Book,"The West Bengal Co-operative Societies rules, 2011 (BARE ACT)",,,,2013,,,C25/11
"12, Old Post Office St.",,DM/1,Book,"The West Bengal Co-operative Societies rules, 1987 (BARE ACT)",,,,1992,,,C25/12
"12, Old Post Office St.",,DM/1,Book,"The West Bengal Co-operative Societies rules, 2011 (BARE ACT)",,,,2019,,,C25/13
"12, Old Post Office St.",,DM/1,Book,The West Bengal Co-operative Societies Manual (BARE ACT),,,,2012,,,C25/14
"12, Old Post Office St.",,RG/1,Book,"The Punjab Co-operative Societies Act, 1961",,,,2015,,,C25/15
"12, Old Post Office St.",,ST/3,Book,"The West Bengal Co-operative Societies Act, 1983(BARE ACT)",,,,2002,,,C25/16
"12, Old Post Office St.",,AKD/14,Book,"The West Bengal Co-operative Societies Act, 1983(BARE ACT)",,,,1995,,,C25/17
"12, Old Post Office St.",,AKD/14,Book,"The West Bengal Co-operative Societies Act, 1983(BARE ACT)",,,,2002,,,C25/18
"12, Old Post Office St.",,AKD/14,Book,The West Bengal Co-operative Rules 1987 (BARE ACT),,,,1995,,,C25/19
"12, Old Post Office St.",,AKD/14,Book,The West Bengal Co-operative Rules 1987 (BARE ACT),,,,2002,,,C25/20
"12, Old Post Office St.",,AKD/14,Book,BYE Laws of the Co-operative Housing Societies Limited (BARE ACT),,,,2001,,,C25/21
"12, Old Post Office St.",,AKD/14,Book,"The Maharastra Co-operative Societies Act, 1960 (BARE ACT)",Mahendra C. Jain,,,2004,,,C25/22
"12, Old Post Office St.",,AKD/9,Book,Iyengar'sThe copy right act,Raghbir Singh,,7th,2010,,,C26/1
"12, Old Post Office St.",,AKD/9,Book,Lal'sThe copy right act,Ajoy Sahira,,5th,2016,,,C26/2
"12, Old Post Office St.",,AKD/9,Book,Law of Copy right and Industrial designs,P. Narayan,,4th,2017,,,C26/3
"12, Old Post Office St.",,DD/9,Book,"The copy right act, 1957 (BARE ACT)",,,,2018,,,C26/4
"12, Old Post Office St.",,LIB/3,Book,Lal'sThe copy right act,,,2nd,1990,,,C26/5
"12, Old Post Office St.",,LIB/3,Book,Lal'sThe copy right act,,,2nd,1995,,,C26/6
"12, Old Post Office St.",,LIB/3,Book,Copy right and Industrial designs,P. Narayan,,3rd,2002,,,C26/7
"12, Old Post Office St.",,LIB/3,Book,Copy right and Industrial designs,P. Narayan,,4th,2007,,,C26/8
"12, Old Post Office St.",,DM/1,Book,"The copy right act, 1957 (BARE ACT)",,,,2011,,,C26/9
"12, Old Post Office St.",,DM/1,Book,"The copy right act, 1957 (BARE ACT)",,,,2016,,,C26/10
"12, Old Post Office St.",,RB/1,Book,"The copy right act, 1957 Rules 2013 (BARE ACT)",,,,2014,,,C26/11
"12, Old Post Office St.",,RG/1,Book,"The copy right act, 1957 (BARE ACT)",,,,2023,,,C26/12
"12, Old Post Office St.",,AKD/14,Book,"Copy right act, 1957 Finance act, 2017 (BARE ACT)",,,,,,,C26/13
"12, Old Post Office St.",,DD/1,Book,"The Credit Information Companies (Regulation) Act, 2005 (BARE ACT)",,,,2015,,,C27/1
"12, Old Post Office St.",,DD/1,Book,"The customs Act,1962 Finance Act, 2012 (BARE ACT)",,,,2012,,,C28/1
"12, Old Post Office St.",,DD/1,Book,"The customs Act,1962 (BARE ACT)",,,,2020,,,C28/2
"12, Old Post Office St.",,SG/3,Book,"The customs Act,1962 Amendment the finance act, 2010 (BARE ACT)",,,,2010,,,C28/3
"12, Old Post Office St.",,LIB/3,Book,"Guide to the Customs Act law, Practice and procedure",B.N. Gururaj,,2nd,2005,,"Vol.1,2",C28/4
"12, Old Post Office St.",,LIB/3,Book,"T.P. Mukherjee's commentary on the Customs Act, 1962",,,10th,2009,,"Vol.1,2",C28/5
"12, Old Post Office St.",,LIB/3,Book,Roy's Customs Act,S.R. Roy,,,1984,,,C28/6
"12, Old Post Office St.",,LIB/3,Book,S.P. Bhatnagar Customs law and procedures 2003,,,5th,2003,,,C28/7
"12, Old Post Office St.",,LIB/3,Book,R.K. Jain's Customs Tariff of India,,,28th,1998-99,,,C28/8
"12, Old Post Office St.",,LIB/3,Book,R.K. Jain's Customs Law manual,,,30th,2005-06,,,C28/9
"12, Old Post Office St.",,LIB/3,Book,R.K. Jain's Customs Law manual,,,32nd,2006-07,,,C28/10
"12, Old Post Office St.",,LIB/3,Book,R.K. Jain's Customs Law manual,,,41st,2006-07,,,C28/11
"12, Old Post Office St.",,LIB/3,Book,R.K. Jain's Customs Tariff of India,,,49th,2010-11,,,C28/12
"12, Old Post Office St.",,LIB/3,Book,R.K. Jain's Customs Tariff of India,,,60th,2015-16,,"Vol.1,2",C28/13
"12, Old Post Office St.",,RB/1,Book,"The customs Act,1962",,,,2019-20,,,C28/14
"12, Old Post Office St.",,AKD/14,Book,"The customs Act,1962 (BARE ACT)",,,,2015-16,,,C28/15
"12, Old Post Office St.",,AKD/14,Book,Uniform Customs and Practice for documentary credits bank of Tokyo (BARE ACT),,,,1975,,,C28/16
"12, Old Post Office St.",,DM/1,Book,"Customs Act,1962 (BARE ACT)",,,,2017,,,C28/17
"12, Old Post Office St.",,AKD/9,Book,Law of Cyber crimes and Informaton Technology Law,S.V.  Jaga Rao,,,2004,,,C29/1
"12, Old Post Office St.",,AKD/9,Book,Guide to Cyber Laws,Rodney D. Ryder,,,2001,,,C29/2
"12, Old Post Office St.",,AKD/14,Book,"The Cinematograph Act, 1952 (BARE ACT)",,,,2012,,,C29A/1
"12, Old Post Office St.",,DD/1,Book,"West Bengal Court Fees Act,1970 and suit Valuation Act, 1888 (BARE ACT)",,,,2016,,,C30/1
"12, Old Post Office St.",,DM/1,Book,"EBC'S Court Fees Act, 1870",,,,2017,,,C30/2
"12, Old Post Office St.",,DM/1,Book,"The West Bengal Court Fees Act,1970",,,,2003,,,C30/3
"12, Old Post Office St.",,DM/1,Book,"The West Bengal Court Fees Act,1970",,,,,,,C30/4
"12, Old Post Office St.",,DM/1,Book,"The West Bengal Court Fees Act,1970",,,,2011,,,C30/5
"12, Old Post Office St.",,DM/1,Book,"The West Bengal Court Fees Act,1970",,,,2016,,,C30/6
"12, Old Post Office St.",,DM/1,Book,"Dutta W. B. Court Fees Act,1970 and Suit valuation Act, 1887",Kamal Kumar,,,,,,C30/7
"12, Old Post Office St.",,AKD/14,Book,"The West Bengal Court Fees Act,1970 (BARE ACT)",,,,1985,,,C30/8
"12, Old Post Office St.",,AKD/14,Book,"The West Bengal Court Fees Act,1970 (BARE ACT)",,,,2003,2,,C30/9
"12, Old Post Office St.",,AKD/14,Book,"The West Bengal Court Fees Act,1970 (BARE ACT)",,,,2011,,,C30/10
"12, Old Post Office St.",,AKD/14,Book,"The West Bengal Court Fees Act,1969 (BARE ACT)",,,,1969,,,C30/11
"12, Old Post Office St.",,AKD/14,Book,"The Coal Mines (Nationalism) Act, 1973 (BARE ACT)",,,,1986,,,C31/1
"12, Old Post Office St.",,AKD/14,Book,"The Coal Mines (Nationalism) Act, 1973 (BARE ACT)",,,,1988,,,C31/2
"12, Old Post Office St.",,AKD/14,Book,National Coal Wage Agreement - III (BARE ACT),,,,,,,C31/3
"12, Old Post Office St.",,AKD/14,Book,Coal Board Manual (BARE ACT),,,,1967,,,C31/4
"12, Old Post Office St.",,AKD,Book,Drafting corporate and commercial Agreements,Rodney D. Ryder,,,2005,,,D1/1
"12, Old Post Office St.",,AKD,Book,Domestic Enquiry and Punishment,K.P. Chakravarti,,,1992,,,
